"rn","2CZY","A","CZY","HIBA","Mozhe","Nevzhe","NOQWORD","czyratio","ALLSUM","BIRTHYEAR","Birthreg","macroreg"
"Агата Крісті",0,2,15,1,2,0,22,0.555555555555556,42,NA,NA,"NA"
"Агата Турчинська",3,15,28,8,8,2,61,0.297872340425532,125,"1903","UA-LVV-REG","west"
"Агатангел Кримський",7,26,93,24,27,18,185,0.332142857142857,380,"1871","UA-ZHT","central"
"Адріан Кащенко",12,56,157,55,21,49,305,0.323045267489712,655,"1858","UA-DNK","NA"
"Андрій Головко",3,35,61,62,31,13,170,0.196141479099678,375,"1897","UA-PLT-REG","southeast"
"Андрій Чайковський",12,94,132,92,40,14,255,0.266666666666667,639,"1857","UA-LVV-REG","west"
"Антін Крушельницький",16,78,221,71,83,5,745,0.225050916496945,1219,"1878","PL","NA"
"Антін Лотоцький",2,2,8,2,5,0,37,0.173913043478261,56,NA,NA,"NA"
"Антін Чекмановський (Антон Нивинський)",0,17,27,5,15,2,133,0.156976744186047,199,"1890","UA-RIV-REG","west"
"Аркадій Любченко",3,6,25,3,3,4,40,0.446428571428571,84,"1899","UA-KYV-REG","central"
"Арсен Паламар",18,19,202,19,43,17,188,0.706293706293706,506,"1936","UA-TRN-REG","west"
"Архип Тесленко",4,53,20,14,3,8,249,0.0611620795107034,351,"1882","UA-PLT-REG","southeast"
"Богдан Бойчук",0,12,73,32,15,22,134,0.33953488372093,288,"1927","UA-TRN-REG","west"
"Богдан Лепкий",30,468,426,38,182,250,1752,0.158364312267658,3146,"1872","UA-TRN","west"
"Богдан Пастушок",1,5,6,1,2,2,50,0.1,67,NA,NA,"NA"
"Богдан Сушинський",0,17,15,22,20,17,89,0.0909090909090909,180,"1946","UA-LVV-REG","west"
"Борис Антоненко-Давидович",2,10,13,24,20,7,143,0.0637254901960784,219,"1899","UA-SUM-REG","southeast"
"Борис Грінченко",5,97,117,135,46,30,286,0.196969696969697,716,"1863","UA-HRK-REG","southeast"
"Борис Левандовський",0,21,34,14,30,10,193,0.126865671641791,302,NA,NA,"NA"
"Борис Тенета",0,45,21,25,21,6,227,0.0648148148148148,345,"1903","UA-DNP-REG","southeast"
"В. Таль",4,27,50,11,16,2,164,0.227272727272727,274,NA,NA,"NA"
"Валер'ян Підмогильний",1,65,87,76,60,28,500,0.119341563786008,817,"1901","UA-HRS-REG","southeast"
"Василь Бобинський",0,13,14,4,11,3,69,0.14,114,"1898","UA-LVV","west"
"Василь Вражливий",2,37,27,45,22,16,148,0.100746268656716,297,"1903","UA-PLT-REG","southeast"
"Василь Ґренджа-Донський",1,15,39,23,9,3,104,0.253246753246753,194,"1897","UA-ZKP-REG","west"
"Василь Королів-Старий",1,30,75,21,52,18,136,0.291828793774319,333,"1879","UA-CRG-REG","central"
"Василь Минко",0,15,8,8,11,9,97,0.0571428571428571,148,"1902","UA-HRK-REG","southeast"
"Василь Стефаник",2,45,13,4,6,0,87,0.0915492957746479,157,"1871","UA-IFR-REG","west"
"Василь Чечвянський",0,15,5,6,6,2,49,0.0641025641025641,83,"1888","UA-PLT-REG","southeast"
"Віктор Петров-Домонтович",11,22,118,55,25,14,310,0.276995305164319,555,"1894","UA-DNP","southeast"
"Володимир Винниченко",26,776,694,496,490,179,7711,0.0719021964359718,10372,"1880","UA-KRV","central"
"Володимир Владко",8,86,147,114,82,41,608,0.157894736842105,1086,"1901","RU","NA"
"Володимир Перетц",0,0,1,0,0,0,21,0.0476190476190476,22,NA,NA,"NA"
"Володимир Хронович",0,4,6,2,0,0,23,0.206896551724138,35,NA,NA,"NA"
"Володимир Штангей",1,5,1,2,2,0,21,0.0333333333333333,32,NA,NA,"NA"
"Галина Журба",0,33,6,10,3,0,135,0.0331491712707182,187,"1888","UA-CRK-REG","central"
"Галина Орлівна",0,8,16,8,12,4,116,0.108108108108108,164,"1895","UA-PLT-REG","southeast"
"Гнат Хоткевич",2,35,36,25,15,15,118,0.173076923076923,246,"1878","UA-HRK","southeast"
"Гордій Брасюк",1,35,41,75,22,28,299,0.0893246187363834,501,"1899","UA-ZHT-REG","central"
"Григорій Епік",2,54,64,105,36,13,456,0.0963855421686747,730,"1901","RU","NA"
"Григорій Квітка-Основ'яненко",22,58,188,45,26,1,274,0.465346534653465,614,"1778","UA-HRK-REG","southeast"
"Григорій Косинка",0,16,13,22,6,2,138,0.0706521739130435,197,"1899","UA-KYV-REG","central"
"Григорій Мачтет",0,4,8,5,2,7,31,0.163265306122449,57,NA,NA,"NA"
"Ґео Шкурупій",2,6,14,21,20,17,81,0.096551724137931,161,"1903","MD","NA"
"Дарія Віконська",11,15,79,0,5,1,36,1.3859649122807,147,"1893","AT","NA"
"Дмитро Багалій",3,1,28,7,3,0,36,0.595744680851064,78,"1857","UA-KYV","central"
"Дмитро Борзяк",1,8,5,6,0,0,51,0.0769230769230769,71,NA,NA,"NA"
"Дмитро Бузько",2,25,57,58,47,25,144,0.190635451505017,358,"1891","UA-KRV","central"
"Дмитро Мирон-Орлик",2,1,16,1,0,0,28,0.533333333333333,48,NA,NA,"NA"
"Дмитро Тась",2,5,8,6,2,0,41,0.148148148148148,64,NA,NA,"NA"
"Дніпрова Чайка",3,10,27,18,1,6,70,0.257142857142857,135,"1861","UA-MYK-REG","NA"
"Докія Гуменна",2,14,41,27,29,18,131,0.187214611872146,262,"1904","UA-CRK-REG","central"
"Жюль Верн",1,18,20,5,7,1,61,0.217391304347826,113,"TRANSL","TRANSL","NA"
"Зiнаїда Тулуб",12,141,186,149,15,114,487,0.205298013245033,1104,"1890","UA-KYV","central"
"Іван Багряний",4,49,59,31,12,4,275,0.159029649595687,434,"1906","UA-SUM-REG","southeast"
"Іван Дніпровський",0,5,2,2,0,0,22,0.0689655172413793,31,NA,NA,"NA"
"Іван Карпенко-Карий",21,276,243,235,80,57,1342,0.122110552763819,2254,"1845","UA-HRS-REG","southeast"
"Іван Керницький",0,11,8,0,14,1,74,0.08,108,"1913","UA-LVV-REG","west"
"Іван Котляревський",5,15,21,6,11,0,110,0.147887323943662,168,"1769","UA-PLT","southeast"
"Іван Кочерга",1,24,14,13,6,14,151,0.0673076923076923,223,"1881","UA-CRG-REG","central"
"Іван Микитенко",4,105,65,80,50,22,625,0.0736961451247165,951,"1897","UA-RIV","west"
"Іван Нечуй-Левицький",364,375,2173,555,394,238,1664,0.673589584624922,5763,"1838","UA-CRK","central"
"Іван Огієнко",0,4,13,1,5,0,50,0.216666666666667,73,NA,NA,"NA"
"Іван Франко",16,142,220,102,80,43,757,0.195729537366548,1360,"1856","UA-LVV-REG","west"
"Ігор Губаржевський",0,2,0,0,0,0,118,0,120,"1905","UA-VNC-REG","central"
"Ірина Вільде",4,6,20,1,3,0,56,0.303030303030303,90,"1907","UA-CRV","west"
"Катря Гриневичева",4,37,27,19,14,6,239,0.0857142857142857,346,"1875","UA-LVV","west"
"Клим Поліщук",1,62,39,24,19,9,233,0.112391930835735,387,"1891","UA-ZHT-REG","central"
"Лев Скрипник",0,2,2,4,2,0,33,0.0487804878048781,43,NA,NA,"NA"
"Леонід Скрипник",2,3,7,11,2,1,24,0.170731707317073,50,NA,NA,"NA"
"Леонід Смілянський",0,8,14,9,9,8,66,0.14,114,"1904","UA-SUM","southeast"
"Леонід Чернов",0,10,1,1,1,0,35,0.0212765957446809,48,NA,NA,"NA"
"Лесь Мартович",6,129,113,11,76,0,417,0.178515007898894,752,"1871","UA-IFR-REG","west"
"Леся Українка",12,60,162,54,66,26,332,0.301115241635688,712,"1871","UA-ZHT","central"
"Людмила Старицька-Черняхівська",1,20,56,13,8,12,138,0.293193717277487,248,"1868","UA-KYV","central"
"Майк Йогансен",16,6,96,12,15,17,173,0.430493273542601,335,"1896","UA-HRK","southeast"
"Марія Галич",0,4,5,9,5,2,32,0.0961538461538462,57,NA,NA,"NA"
"Марія Романівська",2,36,54,42,40,46,365,0.102079395085066,585,"1901","UA-HRK","southeast"
"Марія Струтинська",1,23,30,11,22,7,162,0.133333333333333,256,"1897","UA-LVV-REG","west"
"Марко Вовчок",13,99,264,57,55,1,395,0.43492586490939,884,"1833","RU","NA"
"Марко Кропивницький",9,54,131,49,29,22,425,0.226252158894646,719,"1840","UA-KRV-REG","central"
"Марко Черемшина",0,22,7,0,2,0,75,0.0707070707070707,106,"1874","UA-IFR-REG","west"
"Микола Зеров",10,14,99,14,9,12,254,0.326732673267327,412,"1890","UA-PLT","southeast"
"Микола Костомаров",8,32,43,46,0,0,96,0.247126436781609,225,"1817","RU","NA"
"Микола Куліш",0,13,13,12,7,5,156,0.0673575129533679,206,"1892","UA-HRS-REG","southeast"
"Микола Мінько",0,1,4,2,2,5,63,0.0547945205479452,77,"1902","UA-HRK-REG","southeast"
"Микола Садовський",4,22,14,10,8,2,120,0.0864197530864197,180,"1856","UA-MYK-REG","NA"
"Микола Трублаїні",6,78,114,43,69,49,543,0.145780051150895,902,"1907","UA-VNC-REG","central"
"Микола Хвильовий",5,37,196,197,64,75,662,0.189371980676329,1236,"1893","UA-SUM","southeast"
"Микола Чайковський",2,6,28,0,1,0,27,0.823529411764706,64,NA,NA,"NA"
"Мирослав Ірчан",3,23,22,6,6,5,70,0.2,135,"1897","UA-IFR-REG","west"
"Михайло Грушевський",25,25,98,5,4,0,173,0.473429951690821,330,"1866","PL|RU","NA"
"Михайло Козоріс",0,7,9,3,4,0,43,0.157894736842105,66,NA,NA,"NA"
"Михайло Коцюбинський",18,76,252,114,72,46,698,0.250497017892644,1276,"1864","UA-VNC","central"
"Михайло Старицький",22,102,222,158,78,54,1330,0.128919860627178,1966,"1840","UA-CRK-REG","central"
"Михайло Яцків",0,12,20,1,25,0,58,0.208333333333333,116,"1873","UA-IFR-REG","west"
"Моріс Метерлінк",5,2,10,5,2,0,42,0.196078431372549,66,NA,NA,"NA"
"Наталена Королева",11,54,174,54,69,16,357,0.316363636363636,735,"1888","ES","NA"
"Наталя Кобринська",1,31,49,5,19,1,84,0.35,190,"1851","UA-IFR-REG","west"
"Оксана Іваненко",0,25,30,29,26,17,116,0.140845070422535,243,"1906","UA-PLT","southeast"
"Олекса Кузьма",0,3,17,0,5,5,32,0.377777777777778,62,NA,NA,"NA"
"Олекса Синявський",0,2,31,8,1,0,60,0.436619718309859,102,"1883","UA-ZPR-REG","southeast"
"Олекса Слісаренко",6,55,73,60,60,16,266,0.159737417943107,536,"1891","UA-HRK-REG","southeast"
"Олекса Стороженко",1,15,19,6,0,0,35,0.339285714285714,76,"1805","UA-CRG-REG","central"
"Олександр Довженко",6,36,65,15,14,8,468,0.120147874306839,612,"1894","UA-CRG-REG","central"
"Олександр Ємченко",2,14,43,5,11,19,94,0.300699300699301,188,"1945","UA-ZPR-REG","southeast"
"Олександр Жовна",0,3,10,1,1,5,49,0.169491525423729,69,NA,NA,"NA"
"Олександр Зима",1,27,73,13,25,49,459,0.12739965095986,647,"1937","UA-HRS-REG","southeast"
"Олександр Ільченко",2,118,158,49,19,8,772,0.163561076604555,1126,"1909","UA-HRK","southeast"
"Олександр Ірванець",0,25,53,6,11,5,168,0.246511627906977,268,"1961","UA-LVV","west"
"Олександр Ковінька",2,5,39,12,1,0,78,0.40625,137,"1900","UA-PLT-REG","southeast"
"Олександр Кониський",6,72,156,82,12,0,348,0.303501945525292,676,"1836","UA-CRG-REG","central"
"Олександр Корнійчук",1,7,9,10,18,2,159,0.0459183673469388,206,"1905","UA-KYV-REG","central"
"Олександр Костюк",0,1,13,1,5,2,33,0.30952380952381,55,NA,NA,"NA"
"Олександр Левченко",0,1,3,2,5,5,23,0.0833333333333333,39,NA,NA,"NA"
"Олександр Мазур",0,7,4,6,6,1,45,0.0615384615384615,69,NA,NA,"NA"
"Олександр Мар’ямов",4,13,30,16,7,5,164,0.146341463414634,239,"1909","UA-ODS","NA"
"Олександр Оглоблин",0,0,9,0,1,0,29,0.3,39,NA,NA,"NA"
"Олександр Покришкін",2,33,66,22,9,41,229,0.197604790419162,402,"TRANSL","TRANSL","NA"
"Олександр Ромась",0,2,15,0,0,0,21,0.652173913043478,38,NA,NA,"NA"
"Олександр Сизоненко",0,34,19,23,17,3,265,0.0555555555555556,361,"1923","UA-MKL-REG","southeast"
"Олександр Солженіцин",0,4,19,5,5,4,61,0.240506329113924,98,"TRANSL","TRANSL","NA"
"Олександр Тесленко",9,159,228,132,104,54,1761,0.10316742081448,2447,"1948","UA-DNC","southeast"
"Олександр Шарварок",0,5,6,3,2,0,21,0.193548387096774,37,NA,NA,"NA"
"Олександр Шевченко",1,7,29,7,28,17,121,0.161111111111111,210,NA,NA,"NA"
"Олексій Волков",3,128,79,51,96,50,613,0.0842217484008529,1020,"1965","UA-TRN","west"
"Олексій Ганзенко",0,11,8,14,4,2,57,0.0909090909090909,96,NA,NA,"NA"
"Олексій Кацай",3,86,165,7,76,20,750,0.175718849840256,1107,"1954","RU","NA"
"Олексій Кобець",3,11,13,7,5,1,45,0.188405797101449,85,"1882","UA-KYV-REG","central"
"Олексій Коломієць",1,80,40,11,27,5,445,0.0704225352112676,609,"1919","UA-PLT-REG","southeast"
"Олексій Корепанов",0,25,11,14,8,3,65,0.0956521739130435,126,"1953","RU","NA"
"Олексій Кутинський",0,9,6,1,2,0,23,0.171428571428571,41,"1926","UA-KYV","central"
"Олексій Огульчанський",0,9,8,3,7,1,94,0.0701754385964912,122,"1912","UA-LUH-REG","southeast"
"Олексій Ошуркевич",0,13,23,8,8,1,34,0.359375,87,NA,NA,"NA"
"Олена Пчілка",0,40,38,18,26,2,166,0.150793650793651,290,"1849","UA-PLT","southeast"
"Олесь Бердник",80,584,1359,796,806,567,4443,0.188854919399666,8635,"1926","UA-KYV-REG","central"
"Олесь Вахній",0,1,9,5,2,4,27,0.230769230769231,48,NA,NA,"NA"
"Олесь Гончар",57,357,833,305,320,233,1908,0.266730707652898,4013,"1918","UA-PLT-REG","southeast"
"Олесь Донченко",10,115,188,115,120,71,1038,0.128855380397533,1657,"1902","UA-PLT-REG","southeast"
"Олесь Досвітній",5,23,124,142,34,66,410,0.183703703703704,804,"1891","UA-HRK","southeast"
"Олесь Ульяненко",1,30,28,6,10,8,207,0.10727969348659,290,"1962","UA-PLT-REG","southeast"
"Ольга Дучимінська",2,19,21,0,3,0,39,0.344262295081967,84,"1883","UA-LVV-REG","west"
"Ольга Кобилянська",70,259,872,38,166,22,1781,0.384819064430715,3208,"1863","RO","NA"
"Ольга Компанієць",0,21,8,5,9,8,149,0.0416666666666667,200,NA,NA,"NA"
"Ольга Мак",8,60,68,13,20,3,365,0.147505422993492,537,"1913","UA-KYV","central"
"Ольга Одлига",2,5,8,2,0,0,28,0.228571428571429,45,NA,NA,"NA"
"Ольга Х",2,13,18,1,1,0,69,0.214285714285714,104,NA,NA,"NA"
"Омелян Заячківський",2,7,12,5,5,6,46,0.173913043478261,83,NA,NA,"NA"
"Осип Маковей",2,4,18,2,6,0,42,0.333333333333333,74,NA,NA,"NA"
"Осип Назарук",6,46,138,0,29,2,206,0.487632508833922,427,"1883","UA-TRN-REG","west"
"Осип Турянський",3,13,55,5,13,26,105,0.339506172839506,220,"1888","UA-LVV-REG","west"
"Остап Вишня",8,126,93,84,31,12,479,0.127049180327869,833,"1889","UA-PLT-REG","southeast"
"Отар Довженко",0,6,11,8,8,2,29,0.207547169811321,64,NA,NA,"NA"
"п. Новицький",0,3,7,0,1,0,47,0.137254901960784,58,NA,NA,"NA"
"Павло Богацький",1,3,10,0,0,0,22,0.4,36,"1883","UA-KHME-REG","west"
"Павло Бондаренко",2,36,41,6,18,18,227,0.134426229508197,348,"1970","RU","NA"
"Павло Гай-Нижник",0,1,4,0,0,0,279,0.0142857142857143,284,"1971","UA-KHME","west"
"Павло Загребельний",56,652,1042,578,614,142,4264,0.16672,7348,"1924","UA-PLT-REG","southeast"
"Панас Мирний",23,293,339,339,69,60,1373,0.158856607310216,2496,"1849","UA-PLT","southeast"
"Панас Саксаганський",0,12,12,4,0,0,90,0.113207547169811,118,"1859","UA-MYK-REG","NA"
"Пантелеймон Куліш",18,31,59,79,10,14,136,0.218518518518519,347,"1819","UA-SUM-REG","southeast"
"Петpo Панч",3,113,92,70,106,8,583,0.104545454545455,975,"1891","UA-HRK-REG","southeast"
"Петро Голота",1,40,33,29,24,11,311,0.0795180722891566,449,"1901","UA-KRV-REG","central"
"Петро Дужий",4,3,42,11,0,11,24,0.857142857142857,95,"1916","UA-LVV-REG","west"
"Петро Дяченко",1,10,8,5,7,2,53,0.103896103896104,86,"1965","UA-PLT-REG","southeast"
"Петро Козланюк",0,4,4,2,0,2,27,0.114285714285714,39,NA,NA,"NA"
"Петро Коломієць",1,17,29,11,6,5,60,0.292929292929293,129,NA,NA,"NA"
"Петро Масляк",2,7,26,22,9,4,42,0.30952380952381,112,NA,NA,"NA"
"Петро Мірчук",3,5,38,0,1,1,47,0.703703703703704,95,"1913","UA-LVV-REG","west"
"Петро Угляренко",6,41,117,92,70,23,345,0.204903677758319,694,"1922","UA-KYV-REG","central"
"Пилип Бабанський",0,39,31,15,22,2,157,0.131914893617021,266,"1921","UA-PLT-REG","southeast"
"Радій Полонський",2,63,51,66,31,12,682,0.0597189695550351,907,"1930","UA-HRK","southeast"
"Раїса Іванченко",2,44,88,57,30,13,224,0.239130434782609,458,"1934","UA-DNP-REG","southeast"
"Ренат Польовий",0,2,3,2,3,0,50,0.0526315789473684,60,"1927","RU","NA"
"Робер Мерль",0,37,54,13,15,9,296,0.145945945945946,424,"TRANSL","TRANSL","NA"
"Роман Андріяшик",1,38,34,10,28,6,469,0.0617059891107078,586,"1933","UA-TRN-REG","west"
"Роман Іваничук",9,52,149,68,41,17,308,0.306584362139918,644,"1929","UA-IFR","west"
"Роман Коваль",2,1,57,7,9,3,107,0.448818897637795,186,"1959","UA-DNC-REG","southeast"
"Роман Мацюк",6,14,97,6,14,2,454,0.197959183673469,593,NA,NA,"NA"
"Роман Медвідь",0,5,13,4,3,2,32,0.282608695652174,59,NA,NA,"NA"
"Роман Федорів",16,50,304,153,133,50,821,0.251864125932063,1527,"1930","UA-LVV","west"
"Ростислав Самбук",5,82,132,54,89,74,681,0.13469387755102,1117,"1923","BY","NA"
"Світлана Пиркало",1,28,39,3,28,9,344,0.0946601941747573,452,"1976","UA-PLT","southeast"
"Світлана Поваляєва",1,21,18,1,7,0,108,0.131386861313869,156,"1974","UA-KYV","central"
"Семен Скляренко",5,89,143,117,74,65,492,0.170848267622461,985,"1901","UA-PLT-REG","southeast"
"Сергій Батурин",1,50,28,17,20,11,220,0.0880503144654088,347,"1960","UA-KYV","central"
"Сергій Жадан",1,38,10,0,20,3,222,0.0353356890459364,294,"1974","UA-LUH","southeast"
"Сергій Жигалко",0,2,1,0,2,1,34,0.0256410256410256,40,NA,NA,"NA"
"Сергій Мирний",0,61,26,4,9,10,232,0.0822784810126582,342,"1960",NA,"NA"
"Сергій Пилипенко",0,2,11,6,6,4,44,0.17741935483871,73,NA,NA,"NA"
"Сергій Робітницький",0,9,13,7,5,7,28,0.232142857142857,69,NA,NA,"NA"
"Сергій Ухачевський",0,70,17,6,46,17,365,0.0337301587301587,521,"1966","UA-TRN","west"
"Соломія Павличко",6,3,28,2,3,1,27,0.777777777777778,70,"1958","UA-LVV","west"
"Софія Андрухович",0,3,5,4,5,1,32,0.111111111111111,50,"1982","UA-IFR","west"
"Софія Парфанович",13,20,206,23,98,54,292,0.42299794661191,706,"1898","UA-LVV","west"
"Софія Тобілевіч",3,6,18,10,5,12,25,0.310344827586207,79,NA,NA,"NA"
"Софія Яблонська",2,12,81,4,27,2,99,0.5625,227,"1907","UA-LVV","west"
"Спиридон Добровольський",2,18,20,29,9,8,110,0.114942528735632,196,"1894","UA-KRV-REG","central"
"Спиридон Черкасенко",0,4,4,0,2,0,32,0.105263157894737,42,NA,NA,"NA"
"Станіслав Стеценко",0,25,23,6,49,12,166,0.0891472868217054,281,NA,NA,"NA"
"Степан Васильченко",7,37,142,43,32,10,408,0.267924528301887,679,"1879","UA-CRG","central"
"Степан Рев’якін",1,26,45,28,33,6,224,0.141955835962145,363,NA,NA,"NA"
"Тадеуш Доленга-Мостович",3,44,43,22,51,8,377,0.0856573705179283,548,"TRANSL","TRANSL","NA"
"Тарас Дрозд",1,24,23,10,14,1,115,0.140243902439024,188,"1953","RU","NA"
"Тарас Шевченко",2,6,33,20,5,0,50,0.407407407407407,116,"1814","UA-CRK-REG","central"
"Тетяна Кардиналовська",0,4,7,2,3,0,35,0.159090909090909,51,NA,NA,"NA"
"Тимур Литовченко",2,8,28,20,6,7,92,0.210526315789474,163,"1963","UA-KYV","central"
"Тодось Осьмачка",4,14,40,15,12,0,68,0.36697247706422,153,NA,NA,"NA"
"Улас Самчук",27,253,417,171,94,46,2023,0.161190568225744,3031,"1905","UA-RIV-REG","west"
"Юліан Опільський",13,34,117,3,22,60,336,0.257142857142857,585,"1884","UA-TRN","west"
"Юліян Шпол (Михайло Яловий)",2,6,26,48,9,5,38,0.245283018867925,134,"1895","UA-PLT-REG","southeast"
"Юрiй Яновський",1,26,20,24,11,1,184,0.0813008130081301,267,"1902","UA-HRS-REG","southeast"
"Юрій Андрухович",6,37,98,18,29,11,395,0.2,594,"1960","UA-IFR","west"
"Юрій Бача",0,26,14,15,6,2,76,0.112,139,"1932","SK","NA"
"Юрій Винничук",11,103,222,73,75,54,746,0.211227402473834,1284,"1952","UA-IFR","west"
"Юрій Горліс-Горський",4,33,68,12,32,4,185,0.255639097744361,338,"1898","UA-PLT-REG","southeast"
"Юрій Іваниченко",0,6,9,4,3,3,48,0.140625,73,"1948","UA-VLN","west"
"Юрій Іздрик",3,44,45,14,39,12,298,0.110565110565111,455,"1962","UA-IFR-REG","west"
"Юрій Канигін",3,27,48,15,0,5,58,0.457142857142857,156,"1935","UA-LUH-REG","southeast"
"Юрій Косач",0,0,9,9,3,1,43,0.160714285714286,65,NA,NA,"NA"
"Юрій Логвин",3,30,31,28,28,4,119,0.148325358851675,243,"1939","UA-KRE","central"
"Юрій Мушкетик",4,58,81,23,51,5,329,0.17381974248927,551,"1929","UA-CER-REG","NA"
