"AUTHOR","titleyear","2CZY","A","CZY","HIBA","Mozhe","Nevzhe","NOQWORD","GENRE","PUBYEAR","BIRTHYEAR","Birthreg","macroreg","czyperc","ALLSUM"
"Іван Багряний","В сутінках-1927",0,3,1,1,0,0,8,"FIC",1927,"1906","UA-SUM-REG","southeast",0.0769230769230769,13
"Іван Багряний","Генерал-1944",0,18,7,12,2,1,122,"DRA",1944,"1906","UA-SUM-REG","southeast",0.0432098765432099,162
"Іван Багряний","З оповідань старого рибалки-1927",0,0,0,1,0,0,1,"FIC",1927,"1906","UA-SUM-REG","southeast",0,2
"Іван Багряний","Заєць-1925",0,0,0,1,0,0,0,"FIC",1925,"1906","UA-SUM-REG","southeast",0,1
"Іван Багряний","Пацан-1928",0,1,2,1,0,0,10,"FIC",1928,"1906","UA-SUM-REG","southeast",0.142857142857143,14
"Іван Багряний","Петро каменяр-1925",0,1,0,0,0,0,9,"FIC",1925,"1906","UA-SUM-REG","southeast",0,10
"Іван Багряний","Рука-1928",0,1,2,1,0,0,20,"FIC",1928,"1906","UA-SUM-REG","southeast",0.0833333333333333,24
"Іван Багряний","Тигролови-1944",4,24,46,13,10,3,96,NA,1944,"1906","UA-SUM-REG","southeast",0.239583333333333,196
"Іван Багряний","Україна біля Тихого океану-1944",0,0,1,0,0,0,5,NA,1944,"1906","UA-SUM-REG","southeast",0.166666666666667,6
"Іван Багряний","Чорні силуети: п'ять новел-1925",0,1,0,1,0,0,4,"FIC",1925,"1906","UA-SUM-REG","southeast",0,6
"Іван Дніпровський","Анабазис-1930",0,5,2,2,0,0,22,"FIC",1930,NA,NA,"NA",0.0645161290322581,31
"Іван Карпенко-Карий","Батькова казка-1892",1,13,19,19,4,5,60,"DRA",1892,"1845","UA-HRS-REG","southeast",0.158333333333333,121
"Іван Карпенко-Карий","Безталанна-1884",1,22,16,23,5,3,86,"DRA",1884,"1845","UA-HRS-REG","southeast",0.103225806451613,156
